#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
ancientness	-0.1
androphobia	-0.3
anemic	-0.4
anencephalic	-0.6
anencephaly	-0.6
anesthetic	-0.6
anger	-0.6
angered	-0.6
angers	-0.7
angina	-0.8
angrily	-0.8
angriness	-0.8
angry	-0.6
angst	-0.3
anguish	-0.7
anguished	-0.7
aniline	-0.8
animadvert	-0.2
animalism	-0.2
animalistic	-0.2
animality	-0.2
animosity	-0.3
animus	-0.3
ankylosis	-0.8
ankylotic	-0.8
annex	-0.4
annihilate	-1
annihilated	-0.8
annihilating	-0.8
annihilation	-0.8
annihilator	-0.8
annoy	-0.4
annoyance	-0.7
annoyed	-0.9
annoying	-1
annoyingly	-0.7
annoys	-0.8
annul	-0.3
annulment	-0.3
anomalous	-0.2
anomie	-0.7
anonymous	-0.4
anorexic	-0.5
anorgasmia	-0.3
anosmic	-0.3
anoxemia	-0.8
anoxemic	-0.8
anoxia	-0.8
anoxic	-0.8
anserine	-0.4
antagonist	-0.5
antagonistic	-0.3
antagonistically	-0.3
antagonize	-0.4
antebellum	-0.3
anti	-0.3
anti-	-0.6
anti-American	-0.2
antiarrhythmic	-0.4
antibiosis	-0.4
antic	-0.2
anticancer	-0.1
antichrist	-0.9
anticlimactic	-0.3
anticlimatic	-0.4
anti-climatic	-0.2
anticlimax	-0.4
antidepressant	-0.3
anti-israeli	-0.3
antineoplastic	-0.3
antipathetic	-0.3
antipathy	-0.8
antipersonnel	-0.7
anti-proliferation	-0.5
antiquated	-0.2
anti-semites	-0.3
antisocial	-0.6
anti-social	-0.3
antithesis	-0.3
antithetical	-0.5
antitrust	-0.3
anti-us	-0.2
anti-white	-0.2
antsy	-0.5
anvil	-0.3
anxieties	-0.8
anxiety	-0.6
anxious	-0.6
anxiously	-0.7
anxiousness	-0.5
apache	-0.2
apartheid	-0.8
apathetic	-0.5
apathetically	-0.5
apathy	-0.7
apeshit	-1
aphid	-0.3
apocalypse	-0.5
apocalyptic	-0.5
apocryphal	-0.4
apologetic	-0.5
apologetically	-0.6
apologise	-0.4
apologised	-0.5
apologises	-0.3
apologising	-0.3
apologist	-0.4
apologists	-0.3
apologize	-0.3
apologized	-0.5
apologizes	-0.7
apologizing	-0.6
apology	-0.3
aposiopesis	-0.3
aposiopetic	-0.3
apostasy	-0.4
apostate	-0.4
appal	-0.2
appall	-0.7
appalled	-0.4
appalling	-0.6
apparatchik	-0.3
apparent	-0.1
appellant	-0.3
appellate	-0.3
appendicitis	-0.4
apprehend	-0.4
apprehension	-0.4
apprehensions	-0.5
apprehensive	-0.4
apprenticed	-0.3
appressed	-0.4
appropriation	-0.1
apractic	-0.3
apraxia	-0.4
aquaphobia	-0.8
arachnophobia	-0.6
arbitrarily	-0.3
arbitrary	-0.1
arcane	-0.2
archaic	-0.4
arduous	-0.6
arduously	-0.6
arduousness	-0.6
arg	-0.4
argh	-0.6
arghh	-0.8
arghhh	-0.8
arguable	-0.4
argue	-0.5
argument	-0.2
argumentative	-0.5
arguments	-0.6
arid	-0.4
armaments	-0.2
armed	-0.4
arming	-0.7
armored	-0.4
army	-0.7
arraign	-0.3
arraignment	-0.3
arrears	-0.4
arrest	-0.7
arrested	-1
arresting	-0.8
arrests	-0.7
arrhythmic	-0.3
arrogance	-0.7
arrogant	-0.8
arrogantly	-0.9
arrogator	-0.6
arse	-1
arsed	-1
arsehole	-1
arsenic	-0.5
arsenical	-0.5
arsenious	-0.5
arsine	-0.8
arson	-0.8
arsonist	-0.8
arteriectasis	-0.8
arthritic	-0.5
arthritis	-0.5
artificial	-0.3
artificiality	-0.3
artificially	-0.3
artillery	-0.4
artless	-0.4
artlessly	-0.4
ascetic	-0.2
ash	-0.1
ashame	-0.7
ashamed	-0.4
ashen	-0.3
ashes	-0.1
asinine	-0.6
asininely	-0.7
asinininity	-0.3
as-is	-0.1
askance	-0.3
aspergillosis	-0.7
asperity	-0.5
asperse	-0.3
aspersion	-0.4
aspersions	-0.3
ass	-0.9
assailant	-0.4
assassin	-0.8
assassinate	-0.7
assassination	-1
assassinations	-0.7
assault	-0.7
assaultive	-0.3
assfucking	-1
asshat	-1
asshole	-1
assult	-0.7
assumptive	-0.2
astasia	-0.4
asthenia	-0.4
asthenic	-0.5
asthma	-0.4
asthmatic	-0.4
astigmatic	-0.4
astigmatism	-0.2
astraphobia	-0.8
astray	-0.4
astringency	-0.3
astringent	-0.3
astronomically-priced	-0.6
asunder	-0.3
asylum	-0.5
asymmetrical	-0.2
asymptomatic	-0.4
atenolol	-0.1
atherosclerosis	-0.5
athetosis	-0.4
athirst	-0.3
atrabilious	-0.4
atrocious	-0.8
atrocities	-0.3
atrocity	-0.8
atrophy	-0.5
attack	-0.6
attacked	-0.4
attacker	-0.5
attacking	-0.7
attacks	-0.4
attainder	-0.4
attenuated	-0.2
attrited	-0.3
attrition	-0.3
audacious	-0.3
audaciousness	-0.2
audiciously	-0.4
augean	-0.6
austere	-0.1
austerity	-0.3
authoritarian	-0.2
autism	-0.6
autistic	-0.7
autocrat	-0.3
autocratic	-0.2
automysophobia	-0.6
autopsy	-0.7
autorcratic	-0.3
avalanche	-0.1
avarice	-0.3
avaricious	-0.3
avariciously	-0.4
avenge	-0.5
avenged	-0.4
avenger	-0.4
avengers	-0.2
avenges	-0.4
avenging	-0.4
averse	-0.4
aversion	-0.3
avert	-0.3
averted	-0.6
averts	-0.2
avoid	-0.7
avoidance	-0.4
avoided	-0.3
avoiding	-0.6
awaited	-0.1
awaits	-0.2
awayness	-0.2
aweary	-0.4
awed	-0.5
aweful	-0.9
awful	-0.9
awfully	-0.9
awfulness	-0.9
awkward	-0.7
awkwardly	-0.6
awkwardness	-0.6
awry	-0.3
axed	-0.3
axenic	-0.2
baal	-0.2
babble	-0.2
