#NEGATIVE_LEXICON	STRENGTH-ASSIGNED
cheating	-0.6
cheats	-0.7
checkered	-0.2
cheek	-0.4
cheep	-0.2
cheerless	-0.3
cheerlessly	-0.4
cheerlessness	-0.4
cheeseparing	-0.2
cheesily	-0.8
cheesy	-0.8
chemosurgery	-0.4
chickenshit	-0.9
chide	-0.2
chided	-0.4
chides	-0.2
childish	-0.1
child-like	-0.4
chilliness	-0.2
chilly	-0.1
chink	-0.4
chintzy	-0.4
chit	-0.2
chloroform	-0.3
choke	-0.4
choked	-0.8
chokehold	-0.5
choker	-0.5
chokes	-0.7
choky	-0.5
cholera	-0.4
choleric	-0.4
cholesterol	-0.7
choppily	-0.3
choppy	-0.2
chore	-0.2
chromatism	-0.2
chronic	-0.9
chronically	-0.2
chubby	-0.6
chuckmemondays	-0.2
chump	-0.6
chunder	-0.5
chunky	-0.2
churning	-0.4
cicatrize	-0.4
cigarette	-0.1
circumstance	-0.3
circumstances	-0.3
circumstantial	-0.3
circumstantiate	-0.3
cirrhosis	-0.8
clack	-0.3
clamber	-0.2
clammy	-0.2
clamor	-0.3
clamorous	-0.3
clampdown	-0.2
clang	-0.2
clanger	-0.2
clash	-0.4
clashing	-0.4
clatter	-0.2
claustrophobe	-0.5
claustrophobia	-0.5
claw	-0.3
cliche	-0.2
cliché	-0.3
clinical	-0.1
clinically	-0.1
clique	-0.3
cloddish	-0.6
clogged	-0.2
clogs	-0.4
clone	-0.3
close	-0.1
closemindedness	-0.7
closure	-0.3
clouded	-0.1
clouding	-0.1
clown	-0.5
cloying	-0.5
clueless	-0.6
clump	-0.3
clumsily	-0.4
clumsiness	-0.3
clumsy	-0.8
clunkily	-0.3
clusterfuck	-1
clutches 	-0.3
clutter	-0.2
cluttered	-0.2
clutz	-0.9
cmon	-0.2
cnt	-1
coarsely	-0.1
cobweb	-0.3
cobwebby	-0.3
cocaine	-1
cock	-0.5
cockiness	-0.6
cockroach	-0.7
cocksucker	-1
cocksuckers	-1
cocky	-0.5
coddle	-0.4
coerce	-0.2
coerced	-0.4
coercion	-0.4
coercive	-0.3
coffin	-0.6
cog	-0.2
coke	-0.5
cold	-0.4
colder	-0.4
coldly	-0.3
coldness	-0.3
colic	-0.4
colicky	-0.3
collapose	-0.4
collapse	-0.4
collapsed	-0.3
collapses	-0.7
collapsible	-0.6
collapsing	-0.3
collide	-0.3
collides	-0.3
colliding	-0.3
collision	-0.3
collisions	-0.4
collude	-0.2
colluding	-0.2
collusion	-0.3
collusive	-0.3
colonialism	-0.3
colonialist	-0.3
colonize	-0.5
colony	-0.1
colorless	-0.3
colorlessness	-0.3
coma	-0.5
comatose	-0.5
combat	-0.3
combatant	-0.4
combative	-0.7
combats	-0.1
combust	-0.2
combustion	-0.2
comfortless	-0.5
comminatory	-0.3
commiserate	-0.1
commiseration	-0.1
committal	-0.8
commoner	-0.5
commonness	-0.1
commonplace	-0.1
commotion	-0.3
commotions	-0.5
communism	-0.5
communist	-0.3
communize	-0.1
compared	-0.1
competitor	-0.1
complacent	-0.3
complain	-0.6
complained	-0.2
complaining	-0.6
complains	-0.7
complaint	-0.6
complaints	-0.6
complex	-0.1
complexed	-0.3
complexity	-0.4
complexly	-0.2
complicate	-0.3
complicated	-0.3
complicatedness	-0.3
complicating	-0.3
complication	-0.3
complicit	-0.3
complicity	-0.2
compost	-0.3
compulsion	-0.1
compulsive	-0.3
compulsively	-0.2
compulsory	-1
compunction	-0.3
conceal	-0.3
concealed	-0.4
concealment	-0.4
concede	-0.4
conceded	-0.6
conceit	-0.4
conceited	-0.4
concen	-0.3
concens	-0.3
concern	-0.2
concerned	-0.5
concerns	-0.1
concessions	-0.4
concoct	-0.3
concoction	-0.4
concuss	-0.4
concussion	-0.6
condemn	-0.4
condemnable	-0.4
condemnation	-0.4
condemned	-0.3
condemns	-0.4
condescend	-0.5
condescending	-0.7
condescendingly	-0.4
condescension	-0.4
condole	-0.4
condolence	-0.4
condolences	-0.8
confabulate	-0.4
confabulation	-0.2
confess	-0.4
confession	-0.3
confessions	-0.4
confine	-0.2
confined	-0.2
confinement	-0.2
confiscate	-0.4
confiscation	-0.7
conflagration	-0.4
conflict	-0.5
conflicted	-0.6
conflicting	-0.5
conflicts	-0.5
confound	-0.1
confounded	-0.2
confront	-0.3
confrontation	-0.3
confrontational	-0.3
confuse	-0.6
confused	-0.6
confuses	-0.9
confusing	-0.8
confusingly	-0.7
confusion	-0.6
confusions	-0.7
confutation	-0.4
congested	-0.3
congestion	-0.5
congestive	-0.2
conjectural	-0.2
conjecture	-0.2
conjuring	-0.4
connivance	-0.2
conquer	-0.8
conquerable	-0.6
conqueror	-0.8
cons	-0.2
conscons	-0.5
consequence	-0.3
consequential	-0.4
conservative	-0.2
conspicuous	-0.4
conspicuously	-6
conspiracies	-0.7
conspiracy	-0.4
conspirator	-0.3
conspiratorial	-0.4
conspire	-0.4
constable	-0.2
consternation	-0.3
constipate	-0.4
constipated	-0.5
constipation	-0.5
constrain	-0.3
constrained	-0.3
constraint	-0.3
constrict	-0.3
constricted	-0.3
constriction	-0.3
constrictor	-0.3
consumerism	-0.3
contagion	-0.9
contagions	-0.7
contagious	-0.7
contaminants	-0.2
contaminated	-0.4
contaminates	-0.7
contaminating	-0.6
contamination	-0.4
contaminations	-0.5
contaminative	-0.2
contemplating	-0.5
contempt	-0.4
contemptible	-0.4
contemptuous	-0.4
contemptuously	-0.3
contemptuousness	-0.4
contend	-0.3
contender	-0.4
contending	-0.4
contention	-0.7
contentious	-0.7
contestable	-0.4
continual	-0.2
contort	-0.3
contortions	-0.4
contraband	-0.2
contracted	-0.2
contracture	-0.4
contradict	-0.5
contradiction	-0.5
contradictoriness	-0.5
contradictory	-0.5
contrariness	-0.2
contrarious	-0.5
contrary	-0.3
contrast	-0.2
contrasted	-0.3
contrasty	-0.1
contravene	-0.4
contravention	-0.3
contretemps	-0.4
contrite	-0.5
contrive	-0.5
contrived	-0.3
controlling	-0.3
controversial	-0.3
controversially	-0.3
controversies	-0.5
controversy	-0.2
contumacy	-0.4
contumelious	-0.5
convention	-0.1
conventional	-0.2
conventionality	-0.2
conventionalization	-0.2
conventionalize	-0.2
conventionalized	-0.2
conventionally	-0.1
convict	-0.4
convicted	-0.8
conviction	-0.4
convincing	-0.1
convoluted	-0.3
convolutedly	-0.3
convulsion	-0.2
convulsive	-0.2
cooked-on	-0.2
cooler-than-usual	-0.3
coop	-0.3
coping	-0.1
coprolalia	-0.3
coprolith	-0.3
copycat	-0.1
cornered	-0.4
corny	-1
corona	-0.7
coronavirus	-1
coroner	-0.2
corporal	-0.2
corpse	-0.9
correction	-0.3
correctional	-0.2
corrode	-0.3
corroded	-0.4
corrosion	-0.3
corrosions	-0.3
corrosive	-0.3
corrupt	-0.4
corrupted	-0.6
corrupting	-0.4
corruption	-0.4
corruptive	-0.4
corruptly	-0.4
corruptness	-0.4
corrupts	-0.6
corruptted	-0.7
cortege	-0.5
cortina	-0.3
cost-cutting	-0.4
costlier	-0.6
costliness	-0.4
costly	-0.6
cough	-0.6
counsellor	-0.3
counteract	-0.1
counterblast	-0.3
counterbombardment	-0.5
counterfeit	-0.6
counterfire	-0.6
counterintelligence	-0.2
counterintuitive	-0.4
counteroffensive	-0.4
counterproductive	-0.5
counter-productive	-0.4
coursing	-0.4
covert	-0.6
cover-up	-0.3
cover-ups	-0.3
covet	-0.2
covetous	-0.3
covid	-0.6
covid19	-0.6
covid-19	-0.6
covidiot	-1
cow	-0.2
coward	-0.9
cowardice	-0.7
cowhide	-0.1
coyote	-0.1
cozen	-0.4
cpu-intensive	-0.3
crabbed	-0.1
crabbiness	-0.4
crabby	-0.3
crack	-0.5
crackbrained	-0.7
crackdown	-0.7
cracked	-0.8
cracking	-0.2
crackle	-0.2
cracks	-0.3
crackwhore	-1
craftiness	-0.2
craftly	-0.1
cram	-0.3
cramming	-0.4
cramp	-0.4
cramped	-0.7
cramping	-0.4
crank	-0.3
crankiness	-0.5
cranky	-0.5
crap	-1
crappiness	-0.6
crappy	-0.8
craps	-0.6
crapshoot	-0.3
crash	-0.5
crashed	-0.8
crashes	-0.3
crass	-0.3
craven	-0.7
cravenly	-0.5
crawl	-0.1
crawlspace	-0.2
craycray	-0.5
crazed	-0.3
crazier	-0.3
craziest	-0.4
crazily	-0.5
craziness	-0.2
crazy	-0.3
creak	-0.3
creaking	-0.5
creaks	-0.5
creaky	-0.2
creature	-0.2
credulity	-0.7
credulous	-0.3
creep	-1
creepily	-1
creepiness	-0.9
creeping	-0.8
creeps	-1
creepy	-0.1
cremains	-0.4
cremate	-0.4
cremation	-0.4
crepitate	-0.2
crept	-0.3
cresol	-0.2
crestfallen	-3
cretinism	-0.8
cretinous	-0.8
crick	-0.4
cried	-0.9
cries	-0.4
crime	-0.8
crimes	-1
criminal	-0.8
criminalism	-0.8
criminality	-0.8
criminalization	-0.8
criminally	-0.9
criminals	-0.7
criminated	-0.8
criminates	-0.6
criminative	-0.8
crimp	-0.2
crimson	-0.2
cringe	-1
cringed	-1
cringes	-0.7
cripple	-0.7
crippled	-0.7
cripples	-0.8
crippling	-0.6
crips	-1
crisis	-0.8
critic	-0.6
critical	-0.3
critically	-0.3
criticise	-0.1
criticised	-0.3
criticises	-0.3
criticising	-0.4
criticism	-0.4
criticisms	-0.5
criticize	-0.4
criticized	-0.4
criticizes	-0.4
criticizing	-0.4
critics	-0.1
critique	-0.3
croak	-0.4
croaky	-0.3
cronie	-0.4
crony	-0.2
cronyism	-0.3
crook	-0.6
crooked	-0.2
crooks	-0.4
cross	-0.3
crossbar	-0.2
crossly	-0.2
crosstalk	-0.2
crotch	-0.4
crouching	-0.1
croup	-0.8
croupy	-0.8
crowded	-0.2
crowdedness	-0.5
crowding	-0.3
crucifixion	-0.8
crud	-0.2
cruddy	-0.7
crudeness	-0.4
cruel	-0.9
crueler	-0.5
cruelly	-1
cruelness	-0.9
cruelties	-1
cruelty	-0.9
crumble	-0.3
crumbly	-0.3
crummy	-0.4
crump	-0.2
crumple	-0.6
crumpled	-0.5
crumples	-0.5
crunch	-0.2
crunk	-0.5
crusade	-0.4
crush	-0.3
crushed	-0.4
crusher	-0.4
crushing	-0.5
crusty	-0.5
crutch	-0.1
cry	-0.7
cryin	-0.8
crying	-0.8
cryophobia	-0.8
cryosurgery	-0.8
crypt	-0.3
cryptic	-0.2
cryptically	-0.3
cuckold	-0.7
cuckoo	-0.8
culo	-0.5
culpability	-0.1
culpable	-0.3
culprit	-0.7
cult	-0.4
cultism	-0.4
cultist	-0.4
culverin	-0.3
cumbersome	-0.5
cunning	-0.2
cunningly	-0.3
cunt	-0.9
cunts	-1
cuplrit	-0.7
cur	-0.3
curdle	-0.3
curfew	-0.3
currish	-0.2
currishly	-0.2
curse	-0.6
cursed	-0.7
curses	-0.7
cursing	-0.6
cursory	-0.3
curt	-0.3
curtal	-0.2
curtly	-0.3
cuss	-0.8
cussed	-0.5
cussedness	-0.5
cut	-0.4
cutback	-0.4
cutbacks	-0.4
cuts	-0.3
cutter	-0.3
cutthroat	-0.9
cutting	-0.4
cuttingly	-0.4
cyanide	-0.8
cyanogenetic	-0.8
cyberpunk	-0.5
cynic	-3
cynical	-0.5
cynically	-0.5
cynicism	-0.5
cynophobia	-0.8
cyst	-0.7
cytomegalic	-0.8
cytomegalovirus	-0.8
cytopathogenic	-0.8
cytotoxic	-0.8
cytotoxicity	-0.8
cytotoxin	-0.8
d.o.a.	-0.4
dabbling	-0.3
daemon	-0.7
daft	-0.4
daftly	-0.4
dagger	-0.2
daggy	-0.5
dallier	-0.4
dally	-0.4
damage	-0.7
damaged	-0.8
damages	-0.7
damaging	-0.8
damm	-0.5
dammit	-0.8
damn	-0.5
damnable	-0.6
damnation	-0.3
damned	-0.6
damnit	-0.5
damp	-0.2
dandruff	-0.4
dang	-0.4
dangerous	-1
dangerously	-0.8
dangerousness	-1
dangit	-0.7
dangle	-0.3
dankness	-0.2
dare	-0.2
dark	-0.2
dark_(age)	-0.3
darken	-0.5
darkened	-0.6
darker	-0.4
darkish	-0.2
darkling	-0.2
darkly	-0.2
darkness	-0.2
darky	-0.2
darn	-0.6
dashed	-0.2
dastard	-0.5
dastardliness	-0.5
dastardly	-0.4
dauber	-0.2
daunt	-0.5
daunting	-0.4
dauntingly	-0.7
dawdle	-0.3
dawdler	-0.4
daze	-0.3
dazed	-0.4
ddos	-0.9
deactivate	-0.1
dead	-0.7
deadbeat	-0.7
deaden	-0.6
deadened	-0.6
deadening	-0.5
deadeye	-0.8
deadlock	-0.3
deadlocked	-0.6
deadly	-0.8
deadness	-0.7
deadweight	-0.3
deaf	-0.3
deafen	-0.4
deafening	-0.3
deafness	-0.9
dearth	-0.2
death	-0.9
deathlike	-0.9
deaths	-0.9
deathtrap	-0.9
debacle	-0.7
debased	-0.5
debasement	-0.2
debaser	-0.3
debasing	-0.5
debatable	-0.4
debate	-0.3
debating	-0.3
debauch	-0.3
debauched	-0.5
debaucher	-0.2
debauchery	-0.5
debilitate	-0.4
debilitating	-0.4
debilitation	-0.5
debilitative	-0.5
debris	-0.2
debts	-0.2
debunk	-0.5
decadence	-0.3
decadent	-0.3
decalcification	-0.3
decalcify	-0.3
decay	-0.5
decayable	-0.5
decayed	-0.6
decease	-0.1
deceased	-1
deceit	-0.8
deceitful	-0.8
deceitfully	-0.8
deceitfulness	-1
deceive	-0.8
deceived	-0.8
deceiver	-0.7
deceivers	-0.8
deceives	-0.9
deceiving	-0.9
decelerate	-0.1
decentralization	-0.1
decentralize	-0.1
deception	-0.8
deceptive	-0.8
deceptively	-0.8
declaim	-0.3
declination	-0.5
declines	-0.3
declining	-0.1
declivitous	-0.2
decompose	-0.6
decrease	-0.1
decreasing	-0.1
decrement	-0.1
decrepit	-0.4
decry	-0.3
decurved	-0.2
dedifferentiate	-0.2
dedifferentiation	-0.2
deduction	-0.1
deep	-0.1
deepening	-0.1
deepness	-0.1
defamation	-0.5
defamations	-0.7
defamatory	-0.5
defame	-0.5
defamer	-0.4
default	-0.1
defeasible	-0.5
defeat	-0.6
defeated	-0.7
defeatism	-0.7
defect	-0.6
defection	-0.5
defective	-0.6
defectively	-0.6
defectiveness	-0.6
defects	-0.5
defendant	-0.4
defer	-0.4
deferral	-0.3
deferring	-0.3
deffo	-0.1
defiance	-0.4
defiant	-0.3
defiantly	-0.1
deficiencies	-0.6
deficiency	-0.2
deficient	-0.4
deficit	-0.4
defile	-0.3
defiled	-0.3
defiler	-0.3
deflagrate	-0.4
deflagration	-0.4
deflate	-0.5
deflation	-0.1
deflationary	-0.3
deflator	-0.3
deflection	-0.3
defo	-0.1
deforestation	-0.6
deform	-0.4
deformation	-0.6
deformities	-0.4
deformity	-0.4
defraud	-0.6
defrauding	-0.6
defrauds	-0.6
defray	-0.3
defunct	-0.2
defy	-0.3
degeneracy	-0.6
degenerate	-0.9
degenerately	-0.3
degeneration	-0.3
degradation	-0.8
degrade	-0.7
degraded	-0.7
degrades	-0.7
dehumanization	-0.7
dehumanize	-0.9
dehumanized	-1
dehumanizes	-0.8
dehumanizing	-0.7
dehydrated	-0.4
dehydration	-0.4
deign	-0.6
deject	-0.7
dejected	-0.4
dejectedly	-0.4
dejecting	-0.5
dejection	-0.5
dejects	-0.7
delay	-0.3
delayed	-0.5
delaying	-0.2
delays	-0.8
deleted	-0.6
deleterious	-0.7
deleting	-0.5
delinquency	-0.5
delinquent	-0.8
delirious	-0.4
deliriously	-0.4
delirium	-0.6
delongeday	-0.3
delude	-0.3
deluded	-0.4
deluge	-0.3
delusion	-0.4
delusional	-0.5
delusions	-0.4
delusive	-0.3
delusively	-0.3
demanded	-0.7
demanding	-0.2
demands	-0.2
demean	-0.3
demeaning	-0.5
demented	-0.5
dementia	-1
demerit	-0.4
demimondaine	-0.4
demineralize	-0.2
demise	-0.4
demiurge	-0.2
demobilization	-0.4
demobilize	-0.4
demolish	-0.9
demolished	-0.4
demolisher	-0.4
demolition	-0.4
demon	-1
demoniacally	-0.6
demonic	-1
demonization	-1
demonize	-1
demonized	-1
demonizes	-1
demonizing	-1
demoralize	-0.5
demoralized	-0.8
demoralizes	-0.6
demoralizing	-0.6
demoralizingly	-0.6
demote	-0.3
demulcent	-0.1
demurrer	-0.3
demyelinate	-0.1
demyelination	-0.8
denature	-0.8
denazify	-0.1
denial	-0.3
denials	-0.6
denied	-0.4
denier	-0.5
deniers	-0.2
denies	-0.6
denigrate	-0.3
denigration	-0.3
denounce	-0.5
denounces	-0.4
dense	-0.1
densely	-0.1
dent	-0.4
dented	-0.2
dents	-0.6
denunciate	-0.1
denunciation	-0.1
denunciations	-0.5
deny	-0.1
denying	-0.4
departure	-0.1
dependence	-0.1
dependency	-0.1
depersonalization	-0.3
depletable	-0.3
deplete	-0.3
depleted	-0.1
deplorable	-0.6
deplorably	-0.6
deplore	-0.5
deplored	-0.2
deplores	-0.5
deploring	-0.3
deploringly	-0.3
deport	-0.4
deportation	-0.5
deportations	-0.7
deported	-0.5
deports	-0.2
depose	-0.4
deprave	-0.3
depraved	-0.5
depravedly	-0.2
depravity	-0.3
deprecate	-0.3
deprecation	-0.3
deprecative	-0.3
deprecatively	-0.3
depreciate	-0.3
depreciated	-0.4
depreciation	-0.2
depress	-0.5
depressant	-0.7
depressed	-0.6
depressing	-0.6
depressingly	-0.7
depression	-0.6
depressions	-0.6
depressive	-0.6
deprivation	-0.4
deprive	-0.4
deprived	-0.4
derail	-0.4
derailed	-0.2
derails	-0.3
deranged	-0.1
derelict	-0.3
deride	-0.3
derided	-0.6
derides	-0.7
deriding	-0.5
derision	-0.8
derisive	-0.3
derisively	-0.3
derisiveness	-0.5
derivative	-0.4
dermatitis	-0.8
derogation	-0.5
derogative	-0.4
derogatory	-0.9
desecrate	-0.5
desecration	-0.8
desert	-0.1
deserted	-0.3
deserter	-0.4
desertion	-0.3
desexualize	-0.7
desiccate	-0.4
desist	-0.4
desmodontidae	-0.5
desolate	-0.3
desolately	-0.2
desolation	-0.3
despair	-0.5
despairing	-0.5
despairingly	-0.7
despairs	-0.6
desperate	-0.7
desperately	-0.5
desperation	-0.4
desperatly	-0.8
despicable	-0.5
despicably	-0.5
despise	-0.8
despised	-0.7
despiteful	-0.4
despo	-0.6
despoil	-0.3
despoiled	-0.4
despoiler	-0.3
despond	-0.4
despondence	-0.3
despondency	-0.3
despondent	-0.4
despondently	-0.3
despot	-0.3
despotic	-0.3
despotism	-0.2
destabilisation	-0.2
destabilization	-0.4
destabilize	-0.4
destains	-0.5
destitute	-0.4
destitution	-0.3
destroy	-0.3
destroyed	-0.8
destroyer	-0.3
destroying	-0.8
destroys	-0.6
destruct	-0.3
destructibility	-0.3
destruction	-0.3
destructive	-0.7
desultory	-0.5
detached	-0.2
detachment	-0.2
detain	-0.7
detained	-0.8
detainee	-0.2
detention	-0.2
deter	-0.3
deterge	-0.1
detergency	-0.1
deteriorate	-0.2
deteriorated	-0.4
deteriorates	-0.5
deteriorating	-0.4
deterioration	-0.2
determent	-0.2
determinate	-0.2
deterrent	-0.1
detest	-0.2
detestable	-0.4
detestably	-0.3
detested	-0.3
detesting	-0.4
detests	-0.3
detonate	-0.2
detonation	-0.2
detonative	-0.2
detonator	-0.2
detract	-0.3
detracted	-0.4
detracting	-0.4
detraction	-0.4
detractor	-0.3
detracts	-0.3
detriment	-0.1
detrimental	-0.3
detritus	-0.3
devastate	-0.8
devastated	-1
devastates	-0.9
devastating	-0.9
devastation	-1
devestating	-1
devestation	-0.7
deviant	-0.2
deviate	-0.1
deviation	-0.1
devil	-0.9
devilish	-0.9
devilishly	-0.9
devilize	-0.9
devilment	-0.9
devilry	-1
deviltry	-0.7
devious	-0.4
deviously	-0.3
deviousness	-0.4
devoid	-0.3
devolution	-0.4
devour	-0.4
diabetic	-0.4
diabolical	-0.3
diabolically	-0.9
diagnosed	-0.6
diagnosis	-0.2
diametrically	-0.2
dianoetic	-0.5
diaphyseal	-0.2
diarrhea	-0.9
diathesis	-0.6
diatribe	-0.4
diatribes	-0.4
dick	-1
dickhead	-1
dicky	-0.4
dictate	-0.6
dictator	-0.6
dictatorial	-0.1
dictatorship	-0.4
dictostylium	-0.1
die	-1
dieback	-0.7
died	-1
dieing	-1
dies	-1
differ	-0.1
difficult	-0.5
difficulties	-0.3
difficultly	-0.6
difficulty	-0.5
diffidence	-0.6
diffident	-0.3
diffract	-0.1
digress	-0.1
digression	-0.1
digressive	-0.1
dilapidated	-0.4
dilapidation	-0.4
dilatory	-0.4
dilemma	-0.5
dilly-dally	-0.3
dilute	-0.3
dim	-0.5
diminish	-0.1
diminished	-0.1
diminishing	-0.3
diminution	-0.3
diminutive	-0.3
dimly	-0.4
dimmed	-0.4
dimmer	-0.4
dimness	-0.4
din	-0.3
dingbat	-0.5
dinginess	-0.2
dings	-0.1
dingy	-0.3
dinky	-0.4
dionysian	-0.5
diphtheria	-0.8
dipshit	-1
dipsomania	-0.8
dire	-0.3
direct-to-video	-0.4
direful	-0.3
direly	-0.5
direness	-0.4
dirt	-0.6
dirtbag	-0.9
dirtbags	-0.8
dirtier	-0.9
dirtiest	-1
dirtily	-0.7
dirtiness	-0.7
dirts	-0.6
dirty	-0.7
disabilities	-0.7
disability	-0.5
disable	-0.4
disabled	-0.5
disabling	-0.5
disabuse	-0.2
disaccord	-0.3
disadvantage	-0.6
disadvantaged	-0.7
disadvantageous	-0.6
disadvantages	-0.4
disaffect	-0.2
disaffected	-0.3
disaffirm	-0.3
disagree	-0.3
disagreeable	-0.4
disagreeableness	-0.4
disagreeably	-0.4
disagreed	-0.6
disagreeing	-0.8
disagreement	-0.4
disagrees	-0.7
disallow	-0.5
disallowed	-0.2
disapointed	-1
disapointing	-0.8
disappear	-0.3
disappeared	-0.9
disappears	-0.2
disappoint	-0.4
disappointed	-0.8
disappointing	-0.8
disappointingly	-0.7
disappointment	-0.8
disappointments	-0.9
disappoints	-0.8
disapprobation	-0.5
disapproval	-0.4
disapprovals	-0.3
disapprove	-0.4
disapproved	-0.8
disapproving	-0.4
disarm	-0.1
disarming	-0.4
disarranged	-0.2
disarray	-0.2
disassemble	-0.1
disaster	-1
disasterous	-0.9
disasterously	-0.8
disasters	-0.5
disastrous	-0.8
disastrously	-0.6
disavow	-0.1
disavowable	-0.6
disavowal	-0.1
disbelief	-0.4
disbelieve	-0.1
disbeliever	-0.1
disbud	-0.1
discard	-0.1
discarded	-0.3
discarding	-0.3
discernment	-0.1
discharge	-0.1
disciplinary	-0.5
disciplined	-0.5
disclaim	-0.3
discolor	-0.1
discoloration	-0.1
discolored	-0.1
discombobulate	-0.4
discomfit	-0.4
discomfititure	-0.6
discomfort	-0.6
discompose	-0.3
discomposed	-0.4
disconcert	-0.6
disconcerted	-0.3
disconcerting	-0.4
disconcertingly	-0.2
disconnect	-0.1
disconnected	-0.6
disconnection	-0.2
disconsolate	-0.4
disconsolately	-0.5
disconsolation	-0.1
discontent	-0.7
discontented	-0.5
discontentedly	-0.5
discontentment	-0.5
discontinue	-0.1
discontinued	-0.1
discontinuity	-0.2
discontinuous	-0.5
discord	-0.4
discordance	-0.4
discordant	-0.4
discounted	-0.6
discountenance	-0.2
discourage	-0.8
discouraged	-0.3
discouragement	-0.6
discouraging	-0.8
discouragingly	-0.4
discourteous	-0.4
discourteously	-0.3
discourtesy	-0.4
discoutinous	-0.2
discredit	-0.3
discreditable	-0.3
discredited	-0.3
discrepant	-0.2
discriminate	-0.4
discriminated	-0.7
discriminates	-0.4
discriminating	-0.3
discrimination	-0.6
discriminative	-0.6
discriminatory	-0.7
disdain	-0.2
disdained	-0.3
disdainful	-0.8
disdainfully	-0.6
disease	-0.9
diseased	-1
disembodied	-0.8
disembody	-0.2
disengage	-0.1
disengagement	-0.3
disesteem	-0.2
disfavor	-0.4
disfigured	-0.4
disfluency	-0.4
disgrace	-0.9
disgraced	-0.8
disgraceful	-0.5
disgracefully	-0.5
disgruntle	-0.4
disgruntled	-0.4
disgruntlement	-0.4
disguise	-0.2
disguised	-0.5
disguises	-0.4
disguising	-0.5
disgust	-0.9
disgusted	-1
disgustedly	-0.9
disgustful	-0.9
disgustfully	-1
disgusting	-0.9
disgustingly	-0.9
disgustingness	-0.9
disharmonize	-0.5
dishearten	-0.8
disheartened	-0.4
disheartening	-1
dishearteningly	-0.7
disheveled	-0.5
dishonest	-0.5
dishonestly	-0.5
dishonesty	-0.5
dishonor	-0.4
dishonorable	-0.4
dishonorablely	-0.7
dishonorableness	-0.4
dishonorably	-0.4
disillusion	-0.3
disillusionment	-0.6
disillusions	-0.2
disincentive	-0.3
disinclination	-0.6
disinclined	-0.2
disinfectant	-0.4
disinfection	-0.2
disinformation	-0.4
disingenuous	-0.2
disingenuously	-0.2
disingenuousness	-0.2
disintegrate	-0.2
disintegrated	-0.3
disintegrates	-0.3
disintegration	-0.1
disinter	-0.4
disinterest	-0.6
disinterested	-0.6
disinvolve	-0.1
disjointed	-0.1
disjointedly	-0.1
disjunction	-0.1
dislike	-0.9
disliked	-0.8
dislikes	-0.2
disliking	-0.9
dislocate	-0.5
dislocated	-0.1
dislocation	-0.5
disloyal	-0.6
disloyalty	-0.6
dismal	-0.3
dismally	-0.3
dismalness	-0.4
dismantling	-0.3
dismay	-0.4
dismayed	-0.4
dismaying	-0.6
dismayingly	-0.6
dismemberment	-0.5
dismiss	-0.2
dismissal	-0.4
dismissed	-0.4
dismissible	-0.4
dismissive	-0.5
dismissively	-0.3
disobedience	-0.5
disobedient	-0.5
disobey	-0.5
disoobedient	-0.4
disorder	-0.7
disordered	-0.4
disorderly	-0.4
disorganization	-0.2
disorganized	-0.3
disorient	-0.6
disorienting	-0.4
disown	-0.4
disownment	-0.3
disparage	-0.5
disparaged	-0.3
disparagement	-0.5
disparages	-0.5
disparaging	-0.4
disparagingly	-0.3
disparate	-0.2
disparateness	-0.2
disparity	-0.5
dispassion	-0.4
dispassionate	-0.6
dispel	-0.2
dispensability	-0.4
dispensable	-0.5
dispense	-0.5
disperse	-0.2
dispersion	-0.3
dispirit	-0.7
dispirited	-0.2
dispiritedly	-0.6
dispiriting	-0.7
displace	-0.1
displaced	-0.4
displacement	-0.3
displease	-0.5
displeased	-0.6
displeasing	-0.6
displeasure	-0.5
disposable	-0.3
disposal	-0.4
dispose	-0.3
dispossess	-0.4
dispossessed	-0.5
disproof	-0.4
disproportionate	-0.3
disprove	-0.3
disputable	-0.5
disputant	-0.5
dispute	-0.7
disputed	-0.7
disputing	-0.8
disqualification	-0.5
disqualified	-0.7
disqualify	-0.7
disquiet	-0.5
disquieting	-0.3
disquietingly	-0.5
disquietude	-0.6
disregard	-0.4
disregarded	-0.5
disrepair	-0.4
disreputable	-0.4
disreputably	-0.4
disrepute	-0.4
disrespect	-0.5
disrespectable	-0.5
disrespected	-0.8
disrespectful	-0.8
disrespectfully	-0.5
disrespectfulness	-0.7
disrespecting	-0.7
disrupt	-0.6
disrupted	-0.4
disrupting	-0.6
disruption	-0.7
disruptions	-0.3
disruptive	-0.2
disrupts	-0.6
diss	-0.8
dissapointed	-1
dissappointed	-0.7
dissappointing	-0.8
dissatisfaction	-0.5
dissatisfactory	-0.6
dissatisfied	-0.6
dissatisfies	-0.6
dissatisfy	-0.7
dissatisfying	-0.7
dissection	-0.2
dissed	-0.6
dissemble	-0.4
dissembler	-0.3
dissension	-0.3
dissent	-0.3
dissenter	-0.3
dissentient	-0.3
dissenting	-0.3
dissention	-0.3
dissentious	-0.3
disservice	-0.4
disses	-0.7
dissidence	-0.3
dissident	-0.3
dissidents	-0.3
dissimilate	-0.3
dissimilation	-0.3
dissimulate	-0.3
dissimulative	-0.3
dissing	-0.5
dissociable	-0.6
dissocial	-0.4
dissociative	-0.5
dissolute	-0.3
dissoluteness	-0.3
dissolution	-0.3
